toxic_word,neutral_word
stupid,unintelligent
idiot,clueless
horrible,unpleasant
hate,dislike
ugly,unappealing
dumb,slow
loser,unfortunate
annoying,irritating
foolish,careless
pathetic,unfortunate
boring,unexciting
disgusting,unappealing
worthless,insignificant
crazy,irrational
insane,unusual
fat,overweight
thin,slim
useless,ineffective
lame,weak
coward,hesitant
jerk,unfriendly
bastard,unpleasant
bitch,unpleasant
asshole,Arrogant
cheater,deceptive
liar,misleading
foolish,careless
manipulative,calculating
arrogant,confident
selfish,independent
greedy,ambitious
pathetic,unfortunate
evil,unkind
racist,bigoted
sexist,biased
homophobic,unaccepting
lazy,relaxed
weak,fragile
savage,ruthless
loser,unfortunate
unqualified,inexperienced
unreliable,undependable
unethical,unprofessional
disrespectful,impolite
mean,unpleasant
bully,aggressive
nasty,unpleasant
stubborn,determined
annoying,frustrating
unreliable,unpredictable
incompetent,unskilled
inconsiderate,thoughtless
blunt,straightforward
stressed,overwhelmed
confused,disoriented
irrational,illogical
stupid,ignorant
weird,quirky
uneducated,uninformed
distrusting,skeptical
shallow,superficial
insecure,unsure
impatient,restless
overemotional,dramatic
insensitive,uncaring
superficial,shallow
hypocritical,two-faced
untrustworthy,dishonest
inconsistent,erratic
intolerant,closed-minded
passive,compliant
dishonest,deceptive
spiteful,vindictive
aggressive,assertive
manipulative,controlling
cowardly,hesitant
unqualified,inexperienced
immature,childish
judgmental,critical
disloyal,unfaithful
indifferent,apathetic
hostile,unfriendly
pushy,forceful
disorganized,messy
paranoid,wary
annoying,irritating
unmotivated,lazy
insecure,unconfident
bitter,resentful
incompetent,inefficient
controlling,dominant
boring,uninteresting
overdramatic,exaggerated
unprofessional,incompetent
unintelligent,ignorant
disconnected,detached
bizarre,odd
insensitive,uncaring
unpleasant,distasteful
reckless,courageous
delusional,confused
unqualified,unfit
underachieving,mediocre
unreliable,undependable
uncooperative,stubborn
unreasonable,irrational
defeated,overcome
overweight,plump
outdated,old-fashioned
ignorant,uninformed
ugly,unappealing
unimpressive,unremarkable
unworthy,unimportant
guilty,blameworthy
pathetic,poor
fake,imitation
scam,deceptive
fraudulent,misleading
poor quality,subpar
overpriced,expensive
fake reviews,biased feedback
untrustworthy,unreliable
disappointed,unsatisfied
unresponsive,unhelpful
slow,delayed
fucking,*******
fuck,****
slut,****
slut,****
unfriendly,hostile
unprofessional,ineffective
unwanted,irrelevant
inconvenient,unhelpful
unsuitable,impractical
low-quality,cheap
defective,flawed
damaged,broken
unpleasant,uncomfortable
hard to use,complex
outdated,old
misleading,untrue
unethical,immoral
imperfect,flawed
wrong,incorrect
freak,odd
psycho,mentally ill
moron,fool
jerk,rude
weirdo,strange
nerd,unpopular
crap,poorly
junk,substandard
sucks,disappoints
harsh,strict
